index,row,propertyTableColumn,DatabaseTableName,lookupCode,formatHashColumn
1,Area - Clark,MlsArea,mls_area,mlsarea0,"{table: :Mls_Area, code: 'mlsarea', label: 'Clark'}"
2,Area - Cody in Town,MlsArea,mls_area,mlsarea1,"{table: :Mls_Area, code: 'mlsarea', label: 'Cody in Town'}"
3,Area - Cody Out of Town,MlsArea,mls_area,mlsarea2,"{table: :Mls_Area, code: 'mlsarea', label: 'Cody Out of Town'}"
4,Area - Meeteetse,MlsArea,mls_area,mlsarea3,"{table: :Mls_Area, code: 'mlsarea', label: 'Meeteetse'}"
5,Area - Montana,MlsArea,mls_area,mlsarea4,"{table: :Mls_Area, code: 'mlsarea', label: 'Montana'}"
6,Area - N Big Horn in Town,MlsArea,mls_area,mlsarea5,"{table: :Mls_Area, code: 'mlsarea', label: 'N Big Horn in Town'}"
7,Area - N Big Horn Out of Town,MlsArea,mls_area,mlsarea6,"{table: :Mls_Area, code: 'mlsarea', label: 'N Big Horn Out of Town'}"
8,Area - Out of Area,MlsArea,mls_area,mlsarea7,"{table: :Mls_Area, code: 'mlsarea', label: 'Out of Area'}"
9,Area - Powell in Town,MlsArea,mls_area,mlsarea8,"{table: :Mls_Area, code: 'mlsarea', label: 'Powell in Town'}"
10,Area - Powell Out of Town,MlsArea,mls_area,mlsarea9,"{table: :Mls_Area, code: 'mlsarea', label: 'Powell Out of Town'}"
11,Area - S Big Horn in Town,MlsArea,mls_area,mlsarea10,"{table: :Mls_Area, code: 'mlsarea', label: 'S Big Horn in Town'}"
12,Area - S Big Horn Out of Town,MlsArea,mls_area,mlsarea11,"{table: :Mls_Area, code: 'mlsarea', label: 'S Big Horn Out of Town'}"
13,Area - Sunlight/Crandall,MlsArea,mls_area,mlsarea12,"{table: :Mls_Area, code: 'mlsarea', label: 'Sunlight/Crandall'}"
15,Property Status - Active,PropertyStatus,property_status,propertystatus14,"{table: :Property_Status, code: 'propertystatus', label: 'Active'}"
16,Property Status - Active with Contingency,PropertyStatus,property_status,propertystatus15,"{table: :Property_Status, code: 'propertystatus', label: 'Active with Contingency'}"
17,Property Status - Pending,PropertyStatus,property_status,propertystatus16,"{table: :Property_Status, code: 'propertystatus', label: 'Pending'}"
18,Property Status - Closed,PropertyStatus,property_status,propertystatus17,"{table: :Property_Status, code: 'propertystatus', label: 'Closed'}"
19,Property Status - Withdrawn,PropertyStatus,property_status,propertystatus18,"{table: :Property_Status, code: 'propertystatus', label: 'Withdrawn'}"
20,Property Status - Expired,PropertyStatus,property_status,propertystatus19,"{table: :Property_Status, code: 'propertystatus', label: 'Expired'}"
21,Property Status - Temporarily Off Market,PropertyStatus,property_status,propertystatus20,"{table: :Property_Status, code: 'propertystatus', label: 'Temporarily Off Market'}"
22,Property Status - Rented,PropertyStatus,property_status,propertystatus21,"{table: :Property_Status, code: 'propertystatus', label: 'Rented'}"
24,Property Type - Residential,PropertySubType,property_sub_type,propertysubtype23,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential'}"
25,Property Type - Residential Non MLS,PropertySubType,property_sub_type,propertysubtype24,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential Non MLS'}"
26,Property Type - Farm/Ranch (min 35 acres),PropertySubType,property_sub_type,propertysubtype25,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch (min 35 acres)'}"
27,Property Type - Farm/Ranch-Land Only,PropertySubType,property_sub_type,propertysubtype26,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch-Land Only'}"
28,Property Type - Farm/Ranch Non MLS,PropertySubType,property_sub_type,propertysubtype27,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Farm/Ranch Non MLS'}"
29,Property Type - Multi-Family,PropertySubType,property_sub_type,propertysubtype28,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Multi-Family'}"
30,Property Type - Multi-Family Non MLS,PropertySubType,property_sub_type,propertysubtype29,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Multi-Family Non MLS'}"
31,Property Type - Lots/Land,PropertySubType,property_sub_type,propertysubtype30,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Lots/Land'}"
32,Property Type - Lots/Land Non MLS,PropertySubType,property_sub_type,propertysubtype31,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Lots/Land Non MLS'}"
33,Property Type - Building Only,PropertySubType,property_sub_type,propertysubtype32,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Building Only'}"
34,Property Type - Business & Building,PropertySubType,property_sub_type,propertysubtype33,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Business & Building'}"
35,Property Type - Commercial Non MLS,PropertySubType,property_sub_type,propertysubtype34,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Commercial Non MLS'}"
36,Property Type - Business Only,PropertySubType,property_sub_type,propertysubtype35,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Business Only'}"
37,Property Type - Residential Lease,PropertySubType,property_sub_type,propertysubtype36,"{table: :Property_Sub_Type, code: 'propertysubtype', label: 'Residential Lease'}"
39,House Design - 1 Story,Style,style,style38,"{table: :Style, code: 'style', label: '1 Story'}"
40,House Design - 1.5 Story,Style,style,style39,"{table: :Style, code: 'style', label: '1.5 Story'}"
41,House Design - 2 Story,Style,style,style40,"{table: :Style, code: 'style', label: '2 Story'}"
42,House Design - 2.5 Story,Style,style,style41,"{table: :Style, code: 'style', label: '2.5 Story'}"
43,House Design - Bi-Level,Style,style,style42,"{table: :Style, code: 'style', label: 'Bi-Level'}"
44,House Design - Condominium,Style,style,style43,"{table: :Style, code: 'style', label: 'Condominium'}"
45,House Design - Singlewide,Style,style,style44,"{table: :Style, code: 'style', label: 'Singlewide'}"
